I'M,WOULD,GET,KNOW,LIKE,TECH,TAKE,WANT,ONE,DON'T,ANYONE,LOOKING,REALLY,CLASSES,NEED,GEORGIA,I'VE,CS,CLASS,TIME,ALSO,IT'S,STUDENT,GOING,GO
716,535,368,367,360,322,268,254,250,238,238,223,220,213,208,207,204,203,202,199,197,187,187,174,167
1,0.747206704,0.51396648,0.512569832,0.502793296,0.44972067,0.374301676,0.354748603,0.349162011,0.332402235,0.332402235,0.311452514,0.30726257,0.297486034,0.290502793,0.289106145,0.284916201,0.283519553,0.282122905,0.277932961,0.275139665,0.261173184,0.261173184,0.24301676,0.233240223
Greater Mean - Unigram,,,,,,,,,,,,,,,,,,,,,,,,
I'M,716,1,,,,,,,,,,Lesser Mean- Unigram,,,,,,,,,,,,
WOULD,535,0.747206704,,,,,,,,,,I'M,484,1,,,,,,,,,,
GET,368,0.51396648,,,,,,,,,,ANYONE,424,0.876033058,,,,,,,,,,
KNOW,367,0.512569832,,,,,,,,,,KNOW,326,0.673553719,,,,,,,,,,
LIKE,360,0.502793296,,,,,,,,,,WOULD,269,0.555785124,,,,,,,,,,
TECH,322,0.44972067,,,,,,,,,,GET,248,0.512396694,,,,,,,,,,
TAKE,268,0.374301676,,,,,,,,,,LIKE,200,0.41322314,,,,,,,,,,
WANT,254,0.354748603,,,,,,,,,,ONE,178,0.367768595,,,,,,,,,,
ONE,250,0.349162011,,,,,,,,,,LOOKING,175,0.361570248,,,,,,,,,,
DON'T,238,0.332402235,,,,,,,,,,NEED,172,0.355371901,,,,,,,,,,
ANYONE,238,0.332402235,,,,,,,,,,TAKE,168,0.347107438,,,,,,,,,,
LOOKING,223,0.311452514,,,,,,,,,,TECH,149,0.30785124,,,,,,,,,,
REALLY,220,0.30726257,,,,,,,,,,CLASS,143,0.295454545,,,,,,,,,,
CLASSES,213,0.297486034,,,,,,,,,,IT'S,136,0.280991736,,,,,,,,,,
NEED,208,0.290502793,,,,,,,,,,WONDERING,135,0.27892562,,,,,,,,,,
GEORGIA,207,0.289106145,,,,,,,,,,WANT,133,0.274793388,,,,,,,,,,
I'VE,204,0.284916201,,,,,,,,,,CS,126,0.260330579,,,,,,,,,,
CS,203,0.283519553,,,,,,,,,,CLASSES,118,0.243801653,,,,,,,,,,
CLASS,202,0.282122905,,,,,,,,,,DON'T,115,0.237603306,,,,,,,,,,
TIME,199,0.277932961,,,,,,,,,,THANKS,111,0.229338843,,,,,,,,,,
ALSO,197,0.275139665,,,,,,,,,,THANKS!,109,0.225206612,,,,,,,,,,
IT'S,187,0.261173184,,,,,,,,,,STUDENT,108,0.223140496,,,,,,,,,,
STUDENT,187,0.261173184,,,,,,,,,,I'VE,103,0.212809917,,,,,,,,,,
GOING,174,0.24301676,,,,,,,,,,CAMPUS,98,0.202479339,,,,,,,,,,
GO,167,0.233240223,,,,,,,,,,FIND,96,0.198347107,,,,,,,,,,
,,,,,,,,,,,,TIME,93,0.19214876,,,,,,,,,,
